id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,female,jobhome,age,commtime_m,commtime_f,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,c3h17m_f,c3h17m_m,female_f,female_m,jobhome_f,jobhome_m,age_f,age_m
980,140,-0.45249,0.05476,0,0,0,1,0,1,0,0,140,0,-0.45249,0,0.05476,0,0,0,0,0,0,0,1,0,0,0,1,0,0
982,90,0.75138,-0.2621,0,0,0,0,0,1,1,0,90,0,0.75138,0,-0.2621,0,0,0,0,0,0,0,0,0,0,0,1,0,1
984,75,0.68274,-0.41486,0,0,1,0,0,1,0,0,75,0,0.68274,0,-0.41486,0,0,0,0,0,1,0,0,0,0,0,1,0,0
997,50,-0.90756,0.79024,0,0,0,1,1,1,1,50,0,-0.90756,0,0.79024,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1000,42.5,-1.05528,-0.57249,0,0,0,1,1,1,0,42.5,0,-1.05528,0,-0.57249,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1001,80,1.7982,-0.33429,0,0,1,0,0,1,1,0,80,0,1.7982,0,-0.33429,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1005,20,-0.65192,-0.0385,0,0,0,1,0,1,1,0,20,0,-0.65192,0,-0.0385,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1007,70,-0.45516,0.86064,0,0,0,1,0,1,1,0,70,0,-0.45516,0,0.86064,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1010,70,2.14228,0.27636,1,1,0,0,0,0,1,0,70,0,2.14228,0,0.27636,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1020,55,0.16713,-0.14805,1,0,0,1,0,1,1,0,55,0,0.16713,0,-0.14805,0,1,0,0,0,0,0,1,0,0,0,1,0,1
1030,30,-0.81976,0.49595,0,0,1,1,1,1,0,30,0,-0.81976,0,0.49595,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
1076,60,0.56235,-1.24667,0,0,0,0,0,1,1,0,60,0,0.56235,0,-1.24667,0,0,0,0,0,0,0,0,0,0,0,1,0,1
